,City,float_value,id,label,type,percent_value,string_value,currency_dollar_value,int_value,url_value
13,halifax,,PISA-READING-RANKING,PISA reading (high school),int,,,,2.0,
14,halifax,,PISA-SCIENCE-RANKING,PISA science (high school),int,,,,6.0,
15,halifax,0.1175,QUALITY-OF-UNIVERSITIES-TELESCORE,University quality [Teleport score],float,,,,,
16,halifax,,UNIVERSITIES-BEST-RANKED-NAME,Best university in ranking,string,,Dalhousie University,,,
17,halifax,,UNIVERSITIES-BEST-RANKED-RANK,Best university ranking,int,,,,275.0,
0,halifax,0.9068,HEALTHCARE-COST-TELESCORE,Healthcare expenditure [Teleport score],float,,,,,
1,halifax,82.1746,HEALTHCARE-LIFE-EXPECTANCY,Life expectancy (years),float,,,,,
2,halifax,0.929,HEALTHCARE-LIFE-EXPECTANCY-TELESCORE,Life expectancy [Teleport score],float,,,,,
3,halifax,0.7652,HEALTHCARE-QUALITY-TELESCORE,Healthcare quality [Teleport score],float,,,,,
0,halifax,,APARTMENT-RENT-LARGE,Large apartment,currency_dollar,,,1300.0,,
1,halifax,,APARTMENT-RENT-MEDIUM,Medium apartment,currency_dollar,,,1100.0,,
2,halifax,,APARTMENT-RENT-SMALL,Small apartment,currency_dollar,,,870.0,,
3,halifax,0.7076,RENT-INDEX-TELESCORE,Rent index [Teleport score],float,,,,,
0,halifax,,ELDERLY-PEOPLE,Percent of elderly people (65+ years) in country,percent,0.001818,,,,
1,halifax,81.9,LIFE-EXPECTANCY,Life expectancy at birth in country,float,,,,,
2,halifax,42.0,MEDIAN-AGE,Median age in country,float,,,,,
3,halifax,,UNEMPLOYMENT-RATE,Unemployment rate in country,percent,0.0007099999999999999,,,,
0,halifax,,EMPLOYER-SOCIAL-TAXES-CAP-OTHER,Maximum amount paid by employer as other social taxes per employee,currency_dollar,,,82.0,,
1,halifax,,EMPLOYER-SOCIAL-TAXES-CAP-SOC-SEC,Maximum amount paid by employer as social security taxes per employee,currency_dollar,,,156.0,,
2,halifax,,EMPLOYER-SOCIAL-TAXES-OTHER,Employer social taxes per employee,percent,0.02632,,,,
3,halifax,,EMPLOYER-SOCIAL-TAXES-SOC-SEC,Employer social security taxes per employee,percent,0.0495,,,,
4,halifax,,STARTUP-JOBS-AVAILABLE,Startup jobs available,int,,,,6.0,
5,halifax,0.2407,STARTUP-JOBS-AVAILABLE-TELESCORE,Startup job availability [Teleport score],float,,,,,
6,halifax,0.5065,STARTUP-SALARIES,Startup salary [Teleport score],float,,,,,
7,halifax,,STARTUP-SALARIES-DETAIL,Startup salary,currency_dollar,,,46115.0,,
0,halifax,,ENGLISH-SKILLS-DETAIL,English skills,int,,,,100.0,
1,halifax,1.0,ENGLISH-SKILLS-TELESCORE,English skills [Teleport score],float,,,,,
2,halifax,,SPOKEN-LANGUAGES,Spoken languages,string,,"English, French",,,
0,halifax,,LGBT-DETAIL-ADOPTION,LGBT adoption rights,string,,✔ Legal,,,
1,halifax,,LGBT-DETAIL-AGE-OF-CONSENT,LGBT age of consent,string,,✖ Unequal,,,
2,halifax,,LGBT-DETAIL-CHANGING-GENDER,LGBT gender changing rights,string,,Varies by Region,,,
3,halifax,,LGBT-DETAIL-CONVERSION-THERAPY,LGBT conversion therapy regulations,string,,Varies by Region,,,
4,halifax,,LGBT-DETAIL-DISCRIMINATION,LGBT discrimination legality,string,,Illegal in some contexts,,,
5,halifax,,LGBT-DETAIL-DONATING-BLOOD,LGBT blood donation regulations,string,,✖ Banned (5-year deferral),,,
6,halifax,,LGBT-DETAIL-EMPLOYMENT-DISCRIMINATION,LGBT employment discrimination legality,string,,Sexual orientation only,,,
7,halifax,,LGBT-DETAIL-HOMOSEXUALITY,LGBT homosexuality rights,string,,✔ Legal,,,
8,halifax,,LGBT-DETAIL-HOUSING-DISCRIMINATION,LGBT housing discrimination legality,string,,Varies by Region,,,
9,halifax,,LGBT-DETAIL-MARRIAGE,LGBT marriage rights,string,,✔ Legal,,,
10,halifax,,LGBT-DETAIL-OPINION-PERCENT-IN-FAVOR,Homosexuality acceptance (percent of the surveyed population in favor),percent,0.8,,,,
11,halifax,82.02,LGBT-INDEX,LGBT Equality Index,float,,,,,
12,halifax,0.8369,LGBT-INDEX-TELESCORE,LGBT Equality Index [Teleport score],float,,,,,
13,halifax,0.7338,TOLERANCE-TOWARDS-MINORITIES-TELESCORE,Tolerance towards minorities [Teleport score],float,,,,,
0,halifax,54.665,NETWORK-DOWNLOAD,Download speed (Mbps),float,,,,,
1,halifax,0.6556,NETWORK-DOWNLOAD-TELESCORE,Internet access (download) [Teleport score],float,,,,,
2,halifax,14.5,NETWORK-UPLOAD,Upload speed (Mbps),float,,,,,
3,halifax,0.5691,NETWORK-UPLOAD-TELESCORE,Internet access (upload) [Teleport score],float,,,,,
0,halifax,23.0,ELEVATION,Urban area elevation (meters),float,,,,,
1,halifax,90.0,ELEVATION-PEAKS,Median peak in meters,float,,,,,
2,halifax,0.1188,ELEVATION-PEAKS-TELESCORE,Elevation (hills or mountains) [Teleport score],float,,,,,
3,halifax,0.6858,SEASIDE-ACCESS-TELESCORE,Water access [Teleport score],float,,,,,
4,halifax,1.0,SEASIDE-SEASIDE,Seaside access,float,,,,,
0,halifax,0.8923,AIR-POLLUTION-TELESCORE,Air quality [Teleport score],float,,,,,
1,halifax,0.6619,CLEANLINESS-TELESCORE,Cleanliness [Teleport score],float,,,,,
2,halifax,0.756,DRINKING-WATER-QUALITY-TELESCORE,Drinking water quality [Teleport score],float,,,,,
